DTXSID	split	cv_fold_C1e
DTXSID4022525	train	fold2
DTXSID4022527	train	fold4
DTXSID4022529	train	fold3
DTXSID4022731	train	fold3
DTXSID4022999	train	fold0
DTXSID4023200	train	fold0
DTXSID4023202	train	fold1
DTXSID4023412	train	fold2
DTXSID4024018	train	fold3
DTXSID4024062	train	fold0
DTXSID4024195	train	fold1
DTXSID4024270	train	fold1
DTXSID4024272	train	fold1
DTXSID4024274	train	fold3
DTXSID4024276	train	fold2
DTXSID4024359	train	fold1
DTXSID4026181	train	fold3
DTXSID4026214	train	fold3
DTXSID4026684	train	fold2
DTXSID4027072	train	fold4
DTXSID4027236	train	fold1
DTXSID4027282	train	fold4
DTXSID4027367	test	
DTXSID4027494	train	fold0
DTXSID4027525	train	fold2
DTXSID4027608	train	fold1
DTXSID4027781	train	fold1
DTXSID4029698	test	
DTXSID4031980	train	fold0
DTXSID4032459	test	
DTXSID4032580	train	fold0
DTXSID4032611	test	
DTXSID4032613	train	fold0
DTXSID4032667	train	fold1
DTXSID4034150	train	fold4
DTXSID4034497	train	fold0
DTXSID4034576	train	fold3
DTXSID4034653	train	fold0
DTXSID4034948	train	fold3
DTXSID4035708	train	fold4
DTXSID4038922	train	fold2
DTXSID4040002	train	fold4
DTXSID4040268	train	fold1
DTXSID4040713	train	fold4
DTXSID4040767	train	fold3
DTXSID4041367	train	fold1
DTXSID4041527	train	fold4
DTXSID4041600	train	fold1
DTXSID4041995	train	fold4
DTXSID4042090	test	
DTXSID4042123	test	
DTXSID4042129	train	fold4
DTXSID4042206	train	fold2
DTXSID4042256	train	fold1
DTXSID4042418	test	
DTXSID4042462	test	
DTXSID4044161	test	
DTXSID4044379	test	
DTXSID4044402	test	
DTXSID4044581	train	fold3
DTXSID4044585	test	
DTXSID4044589	train	fold2
DTXSID4044668	train	fold2
DTXSID4044872	train	fold4
DTXSID4044955	train	fold3
DTXSID4047127	train	fold2
DTXSID4047252	train	fold4
DTXSID4047337	train	fold4
DTXSID4047381	train	fold4
DTXSID4047385	train	fold4
DTXSID4047387	train	fold4
DTXSID4047418	train	fold2
DTXSID4047462	train	fold4
DTXSID4047545	train	fold2
DTXSID4047628	test	
DTXSID4047882	train	fold3
DTXSID4048191	train	fold1
DTXSID4048195	train	fold4
DTXSID4048513	train	fold0
DTXSID5020029	test	
DTXSID5020154	train	fold1
DTXSID5020233	train	fold4
DTXSID5020239	train	fold4
DTXSID5020283	train	fold1
DTXSID5020310	train	fold1
DTXSID5020366	test	
DTXSID5020449	train	fold3
DTXSID5020528	train	fold1
DTXSID5020570	train	fold0
DTXSID5020576	test	
DTXSID5020607	train	fold2
DTXSID5020653	train	fold3
DTXSID5020730	train	fold1
DTXSID5020784	train	fold0
DTXSID5020811	test	
DTXSID5020819	train	fold0
DTXSID5020867	train	fold1
DTXSID5020869	train	fold3
DTXSID5021097	train	fold2
DTXSID5021124	train	fold4
DTXSID5021126	train	fold4
DTXSID5021201	train	fold4
DTXSID5021209	train	fold0
DTXSID5021386	train	fold1
DTXSID5021413	train	fold3
DTXSID5021590	train	fold2
DTXSID5021754	train	fold4
DTXSID5021831	train	fold1
DTXSID5021835	train	fold3
DTXSID5022308	test	
DTXSID5022437	train	fold1
DTXSID5022439	train	fold0
DTXSID5022510	train	fold1
DTXSID5023035	train	fold0
DTXSID5023243	train	fold0
DTXSID5023322	test	
DTXSID5023324	train	fold1
DTXSID5023588	test	
DTXSID5023796	train	fold4
DTXSID5023902	train	fold2
DTXSID5023950	train	fold4
DTXSID5024059	train	fold1
DTXSID5024182	test	
DTXSID5024344	test	
DTXSID5024687	train	fold2
DTXSID5024891	train	fold0
DTXSID5025021	train	fold4
DTXSID5025023	train	fold4
DTXSID5025231	train	fold0
DTXSID5025607	train	fold1
DTXSID5025730	train	fold2
DTXSID5025861	train	fold4
DTXSID5026251	train	fold4
DTXSID5026548	train	fold1
DTXSID5026706	train	fold4
DTXSID5027061	train	fold2
DTXSID5027142	train	fold0
DTXSID5027198	train	fold0
DTXSID5027308	train	fold2
DTXSID5027356	train	fold3
DTXSID5027774	train	fold2
DTXSID5029136	train	fold1
DTXSID5029265	train	fold3
DTXSID5031131	train	fold4
DTXSID5032315	train	fold2
DTXSID5032361	test	
DTXSID5032365	train	fold1
DTXSID5032442	train	fold4
DTXSID5032498	train	fold1
DTXSID5032577	train	fold4
DTXSID5033836	train	fold2
DTXSID5034723	train	fold0
DTXSID5034773	train	fold0
DTXSID5034981	train	fold3
DTXSID5035589	test	
DTXSID5035616	train	fold1
DTXSID5035957	train	fold4
DTXSID5037028	test	
DTXSID5037494	train	fold1
DTXSID5037498	train	fold3
DTXSID5037523	train	fold3
DTXSID5037571	train	fold1
DTXSID5037731	train	fold3
DTXSID5037739	train	fold3
DTXSID5038888	train	fold3
DTXSID5040708	train	fold2
DTXSID5041275	train	fold2
DTXSID5041306	train	fold1
DTXSID5041308	train	fold0
DTXSID5041512	train	fold3
DTXSID5041641	train	fold1
DTXSID5041691	train	fold3
DTXSID5041728	train	fold1
DTXSID5041772	train	fold0
DTXSID5041778	train	fold1
DTXSID5041851	train	fold1
DTXSID5042089	test	
DTXSID5042243	train	fold2
DTXSID5042249	train	fold4
DTXSID5042299	train	fold0
DTXSID5042459	train	fold3
DTXSID5044366	test	
DTXSID5044520	train	fold4
DTXSID5044528	train	fold3
DTXSID5044607	train	fold3
DTXSID5044786	train	fold4
DTXSID5044815	train	fold2
DTXSID5044817	train	fold4
DTXSID5044865	test	
DTXSID5044992	train	fold3
DTXSID5047035	test	
DTXSID5047112	test	
DTXSID5047160	test	
DTXSID5047249	train	fold0
DTXSID5047295	train	fold1
DTXSID5047297	train	fold4
DTXSID5047320	train	fold4
DTXSID5047322	train	fold0
DTXSID5047324	train	fold4
DTXSID5047328	train	fold0
DTXSID5047372	train	fold4
DTXSID5047530	train	fold4
DTXSID5048182	train	fold3
DTXSID5048184	test	
DTXSID5048186	train	fold1
DTXSID5048506	train	fold1
DTXSID6020014	train	fold0
DTXSID6020064	train	fold1
DTXSID6020066	train	fold1
DTXSID6020068	train	fold3
DTXSID6020143	train	fold3
DTXSID6020197	train	fold4
DTXSID6020220	train	fold3
DTXSID6020226	test	
DTXSID6020278	train	fold1
DTXSID6020480	test	
DTXSID6020511	train	fold1
DTXSID6020515	test	
DTXSID6020561	test	
DTXSID6020690	train	fold1
DTXSID6020779	train	fold4
DTXSID6021030	train	fold4
DTXSID6021032	train	fold4
DTXSID6021086	test	
DTXSID6021244	train	fold4
DTXSID6021248	train	fold0
DTXSID6021373	train	fold4
DTXSID6021824	train	fold1
DTXSID6021959	train	fold3
DTXSID6022345	train	fold0
DTXSID6022391	test	
DTXSID6022422	train	fold2
DTXSID6022474	test	
DTXSID6023159	train	fold3
DTXSID6023652	train	fold0
DTXSID6023733	train	fold2
DTXSID6023864	train	fold3
DTXSID6023868	train	fold0
DTXSID6024046	train	fold1
DTXSID6024123	train	fold0
DTXSID6024175	train	fold0
DTXSID6024177	test	
DTXSID6024200	train	fold0
DTXSID6024204	train	fold0
DTXSID6024206	test	
DTXSID6024460	train	fold2
DTXSID6024624	train	fold4
DTXSID6024836	test	
DTXSID6024882	train	fold0
DTXSID6024888	train	fold4
DTXSID6024911	test	
DTXSID6024913	test	
DTXSID6024917	test	
DTXSID6025068	train	fold4
DTXSID6025143	train	fold0
DTXSID6025226	train	fold0
DTXSID6025436	train	fold1
DTXSID6027052	train	fold3
DTXSID6027131	train	fold0
DTXSID6027185	test	
DTXSID6027218	train	fold1
DTXSID6027268	test	
DTXSID6027345	train	fold4
DTXSID6027923	train	fold0
DTXSID6028022	train	fold4
DTXSID6031461	train	fold2
DTXSID6032352	train	fold0
DTXSID6032354	train	fold0
DTXSID6032358	train	fold1
DTXSID6032431	train	fold0
DTXSID6032514	train	fold4
DTXSID6032562	train	fold2
DTXSID6032645	train	fold1
DTXSID6032649	train	fold4
DTXSID6034186	test	
DTXSID6034712	train	fold3
DTXSID6034972	train	fold0
DTXSID6035152	train	fold0
DTXSID6035285	train	fold2
DTXSID6035784	train	fold2
DTXSID6036467	train	fold1
DTXSID6037728	train	fold1
DTXSID6038877	train	fold1
DTXSID6040745	train	fold4
DTXSID6040747	test	
DTXSID6041268	train	fold1
DTXSID6041422	test	
DTXSID6041472	train	fold2
DTXSID6041682	train	fold3
DTXSID6041761	train	fold3
DTXSID6041977	train	fold3
DTXSID6042232	train	fold2
DTXSID6043915	test	
DTXSID6044309	train	fold1
DTXSID6044430	train	fold3
DTXSID6044519	train	fold1
DTXSID6044642	train	fold1
DTXSID6044646	train	fold4
DTXSID6046977	train	fold4
DTXSID6046979	train	fold4
DTXSID6047103	test	
DTXSID6047109	train	fold4
DTXSID6047288	train	fold0
DTXSID6047311	train	fold4
DTXSID6047315	train	fold0
DTXSID6047369	train	fold0
DTXSID6047446	train	fold4
DTXSID6047498	train	fold3
DTXSID7020005	test	
DTXSID7020057	train	fold0
DTXSID7020182	train	fold2
DTXSID7020267	test	
DTXSID7020392	train	fold4
DTXSID7020479	test	
DTXSID7020685	test	
DTXSID7020710	train	fold4
DTXSID7020716	train	fold0
DTXSID7020766	train	fold3
DTXSID7020768	test	
DTXSID7020843	train	fold2
DTXSID7020845	test	
DTXSID7020970	train	fold1
DTXSID7020972	train	fold0
DTXSID7021029	train	fold4
DTXSID7021100	train	fold1
DTXSID7021106	train	fold2
DTXSID7021150	train	fold3
DTXSID7021152	train	fold4
DTXSID7021237	train	fold4
DTXSID7021239	train	fold0
DTXSID7021314	train	fold1
DTXSID7021316	train	fold1
DTXSID7021491	train	fold1
DTXSID7021653	test	
DTXSID7021784	train	fold3
DTXSID7021788	train	fold1
DTXSID7021867	train	fold2
DTXSID7021869	train	fold0
DTXSID7021946	test	
DTXSID7021948	train	fold3
DTXSID7022049	train	fold0
DTXSID7022174	train	fold1
DTXSID7022253	train	fold4
DTXSID7022332	train	fold0
DTXSID7022411	train	fold3
DTXSID7022413	train	fold1
DTXSID7022598	train	fold4
DTXSID7022679	train	fold2
DTXSID7023063	train	fold0
DTXSID7023194	train	fold0
DTXSID7023645	train	fold2
DTXSID7023980	train	fold3
DTXSID7024031	test	
DTXSID7024035	train	fold1
DTXSID7024160	train	fold0
DTXSID7024164	train	fold3
DTXSID7024245	train	fold1
DTXSID7024291	train	fold3
DTXSID7024299	train	fold0
DTXSID7024376	train	fold2
DTXSID7024532	train	fold2
DTXSID7024538	train	fold1
DTXSID7024827	train	fold4
DTXSID7024873	train	fold1
DTXSID7024902	train	fold4
DTXSID7025003	train	fold1
DTXSID7025132	train	fold1
DTXSID7025217	train	fold2
DTXSID7025429	train	fold0
DTXSID7025502	test	
DTXSID7025506	train	fold2
DTXSID7025895	train	fold2
DTXSID7026314	train	fold4
DTXSID7026520	train	fold1
DTXSID7026946	test	
DTXSID7026994	train	fold2
DTXSID7027047	train	fold4
DTXSID7027205	test	
DTXSID7027461	train	fold2
DTXSID7027540	train	fold1
DTXSID7027756	train	fold4
DTXSID7027837	train	fold4
DTXSID7028015	test	
DTXSID7028300	train	fold1
DTXSID7029110	train	fold2
DTXSID7029162	train	fold2
DTXSID7029241	train	fold2
DTXSID7029871	train	fold0
DTXSID7029879	train	fold0
DTXSID7029904	test	
DTXSID7030307	train	fold2
DTXSID7030698	test	
DTXSID7031458	train	fold1
DTXSID7032004	train	fold0
DTXSID7032345	train	fold3
DTXSID7034250	train	fold3
DTXSID7034252	train	fold0
DTXSID7034674	train	fold0
DTXSID7034676	train	fold3
DTXSID7034961	train	fold1
DTXSID7037262	test	
DTXSID7037553	train	fold0
DTXSID7037555	train	fold0
DTXSID7037715	train	fold3
DTXSID7037717	train	fold2
DTXSID7038864	train	fold3
DTXSID7040283	train	fold2
DTXSID7040287	train	fold3
DTXSID7040738	train	fold4
DTXSID7040788	train	fold3
DTXSID7040990	train	fold1
DTXSID7041097	train	fold3
DTXSID7041411	train	fold3
DTXSID7041413	train	fold0
DTXSID7041461	train	fold2
DTXSID7041544	train	fold4
DTXSID7041623	train	fold3
DTXSID7041629	train	fold3
DTXSID7041883	train	fold3
DTXSID7041887	test	
DTXSID7041889	train	fold4
DTXSID7041910	train	fold3
DTXSID7041966	train	fold0
DTXSID7042011	train	fold2
DTXSID7042019	train	fold0
DTXSID7042065	test	
DTXSID7042140	train	fold0
DTXSID7042196	train	fold2
DTXSID7042273	train	fold0
DTXSID7044394	train	fold2
DTXSID7044504	train	fold1
DTXSID7044639	train	fold1
DTXSID7044841	train	fold2
DTXSID7044893	train	fold2
DTXSID7044895	train	fold3
DTXSID7047144	train	fold3
DTXSID7047146	train	fold4
DTXSID7047271	train	fold4
DTXSID7047277	train	fold4
DTXSID7047279	train	fold0
DTXSID7047304	train	fold0
DTXSID7047306	train	fold1
DTXSID7047308	train	fold4
DTXSID7047358	train	fold4
DTXSID7047433	train	fold0
DTXSID7047487	test	
DTXSID7047512	test	
DTXSID7047568	train	fold4
DTXSID7047649	train	fold3
DTXSID8020040	test	
DTXSID8020121	test	
DTXSID8020123	train	fold4
DTXSID8020337	train	fold4
DTXSID8020464	test	
DTXSID8020466	train	fold2
DTXSID8020541	train	fold4
DTXSID8020620	train	fold0
DTXSID8020674	train	fold0
DTXSID8020755	train	fold3
DTXSID8020759	train	fold4
DTXSID8020913	train	fold2
DTXSID8020915	train	fold2
DTXSID8020961	train	fold1
DTXSID8020963	train	fold1
DTXSID8021199	train	fold2
DTXSID8021224	train	fold1
DTXSID8021272	test	
DTXSID8021301	train	fold4
DTXSID8021640	train	fold2
DTXSID8021642	train	fold2
DTXSID8021771	train	fold2
DTXSID8021777	train	fold0
DTXSID8021800	train	fold4
DTXSID8021804	train	fold3
DTXSID8022111	train	fold3
DTXSID8022161	train	fold1
DTXSID8022292	train	fold4
DTXSID8022325	train	fold0
DTXSID8022377	train	fold0
DTXSID8022406	train	fold3
DTXSID8022408	train	fold3
DTXSID8022589	train	fold2
DTXSID8022828	train	fold0
DTXSID8022959	train	fold2
DTXSID8023216	train	fold1
DTXSID8023474	train	fold4
DTXSID8023719	train	fold4
DTXSID8023846	test	
DTXSID8023927	train	fold4
DTXSID8024072	train	fold3
DTXSID8024101	train	fold3
DTXSID8024105	train	fold3
DTXSID8024109	train	fold0
DTXSID8024151	train	fold0
DTXSID8024157	train	fold1
DTXSID8024159	train	fold3
DTXSID8024234	train	fold0
DTXSID8024238	train	fold1
